image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,d_hash,parent
https://static01.nyt.com/images/2019/05/09/us/09ABORTION-1/09ABORTION-1-facebookJumbo.jpg,1283132514,1,Alabama Lawmakers Vote to Effectively Ban Abortion in the State,https://www.nytimes.com/2019/05/14/us/abortion-law-alabama.html?partner=rss&emc=rss,New York Times,http://nytimes.com,2019-05-14 22:08:48.000000,1,58168,[3687],3b3f1e5b635317a6,0
https://media1.s-nbcnews.com/j/newscms/2018_28/2371011/180321-abortion-rights-supreme-court-ew-104p_3b50ee895e4868d6fa18203648687a0a.1200;630;7;70;5.jpg,983221133,25499,NBC/WSJ poll: Support for Roe v. Wade hits new high,https://www.nbcnews.com/politics/first-read/nbc-wsj-poll-support-roe-v-wade-hits-new-high-n893806,NBC News,http://www.nbcnews.com,2018-09-12 06:34:27.525251,3,41854,[3687],4836a64152f3e745,0
https://d3i6fh83elv35t.cloudfront.net/static/2019/01/RTS2BMUB-1024x683.jpg,1171815468,271188,What does Kamala Harris believe? Where the candidate stands on 9 issues,https://www.pbs.org/newshour/politics/what-does-kamala-harris-believe-where-the-candidate-stands-on-9-issues,PBS NewsHour,http://www.pbs.org/newshour/,2019-01-21 17:55:08.000000,1,22622,[3687],4c5c98d8d8c8c88c,0
http://rachelsvineyard.org/images/main_anim_10.gif,260597063,112874,Rachel's Vineyard Ministries,http://rachelsvineyard.org/,rachelsvineyard.org,http://rachelsvineyard.org/,2011-04-25 22:34:30,1,14263,[],0923269a1b496932,0
https://thumbs.mic.com/ZDFiZTQ4YzE0NCMvYWlDblNTd1k5VGxELTYzQWR6cUc0WDFBVWRNPS8weDE3Nzo1MzY0eDI5ODQvMTIwMHg2MzAvZmlsdGVyczpxdWFsaXR5KDcwKS9odHRwOi8vczMuYW1hem9uYXdzLmNvbS9wb2xpY3ltaWMtaW1hZ2VzL2JrbXhqY3BnNnJ6azMxcXd0dGprZ2RpbXJobHRhcHRtaXRrZm9naHJweXh2ejNhdHU2emVpZ2VxeXR4ZWxndnMuanBn.jpg,608842604,109076,Donald Trump gives states green light to withhold funds from Planned Parenthood,http://mic.com/articles/174139/donald-trump-gives-states-green-light-to-withhold-funds-from-planned-parenthood,Mic,http://mic.com/,2017-04-13 13:52:49.000000,1,13795,[3689],46715a4a9aeac8e0,0
https://cdn.cnn.com/cnnnext/dam/assets/190221131034-20190221-abortion-illustrationv5-super-tease.jpg,1224336386,1095,Online abortion pill provider ordered to cease delivery by FDA,http://rss.cnn.com/~r/rss/cnn_latest/~3/Dk9-4b36O2A/index.html,CNN,http://www.cnn.com/,2019-03-15 05:17:16.000000,1,12708,[3687],c3dbc5a525a96717,0
https://ichef.bbci.co.uk/news/1024/branded_news/64C3/production/_106959752_tv053935649.jpg,1355585317,1094,Alabama to vote on bill banning abortion,https://www.bbc.com/news/world-us-canada-48275795,BBC,http://www.bbc.co.uk/?ok,2019-08-03 01:42:28.872939,0,12469,[3687],f4b4f4cedb9b1bc4,0
https://theintercept.imgix.net/wp-uploads/sites/1/2019/03/GettyImages-1132797510-Pelosi-1553268370-e1553268603758.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,1230839693,269138,House Democratic Leadership Warns It Will Cut Off Any Firms That Challenge Incumbents,https://theintercept.com/2019/03/22/house-democratic-leadership-warns-it-will-cut-off-any-firms-who-challenge-incumbents/,The Intercept,https://theintercept.com/,2019-03-22 11:35:22.000000,1,10288,[3686],3268555471696928,0
https://www.liveaction.org/wp-content/uploads/2011/09/favicon.ico,298091660,71843,Live Action - Pro-life advocacy for dignity and human rights - A new media movement for life!,http://liveaction.org/,liveaction.org,http://www.liveaction.org/#spider,2014-07-09 15:16:35,1,10210,[],6969696161605050,0
https://cdn.theatlantic.com/assets/media/img/mt/2019/02/RTS2B8HF/facebook.jpg?1549240692,1183159147,1110,Democrats Overplay Their Hand on Abortion,https://www.theatlantic.com/ideas/archive/2019/02/new-york-and-virginia-push-expand-abortion-rights/581959/?utm_source=feed,The Atlantic,http://www.theatlantic.com/,2019-02-04 16:11:13.000000,1,9399,[3687],92b9f9d9f1e5b733,0
