image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,parent,d_hash
http://www.priestsforlife.org/images/fr-frank-pavone-preaching.jpg,298197769,83293,Priests for Life,http://priestsforlife.org/,Pro-life and Anti Abortion Blog - Pro Life Leaders and Activists,http://www.priestsforlife.org/blog/,2014-06-30 15:12:31,1,4167,[],0,23
https://cdn01.dailycaller.com/wp-content/uploads/2019/06/Castro-e1561600806900.jpg,1322832475,18775,Julian Castro Claims That Men Can Have Babies During Democratic Debate,https://dailycaller.com/2019/06/26/julian-castro-that-men-babies-democratic-debate/,Daily Caller,http://dailycaller.com,2019-06-26 22:00:28,2,4154,[3690],Dems,24
https://media.npr.org/assets/img/2019/06/27/samantha-reinders_mariestopes_184-47-95_wide-619cd41be3a538e77cae42c8deb4442d11030ce9.jpg?s=1400,1323793070,1096,Study: U.S. Ban On Aid To Foreign Clinics That 'Promote' Abortion Upped Abortion Rate,https://www.npr.org/sections/goatsandsoda/2019/06/27/736574110/study-u-s-ban-on-aid-to-foreign-clinics-that-promote-abortion-upped-abortion-rat?utm_medium=RSS&utm_campaign=news,NPR,http://www.npr.org/,2019-06-27 18:30:25.000000,1,4053,[3689],0,25
https://cdn.cnn.com/cnnnext/dam/assets/190415201433-02-beto-orourke-april-3-super-tease.jpg,1320289929,1095,Beto O'Rourke proposes 'war tax' as part of veterans' plan,http://rss.cnn.com/~r/rss/cnn_latest/~3/iuudk1GkyFI/index.html,CNN,http://www.cnn.com/,2019-06-24 06:00:34.000000,9,3867,[3687],Dems,26
https://www.dailywire.com/sites/default/files/styles/open_graph/public/uploads/2019/06/screen_shot_2019-06-24_at_7.54.17_am.png?itok=gImL45Km,1320679429,269352,WATCH: Ocasio-Cortez Asked If Planned Parenthood Abortion Clinics Are Like Concentration Camps For The Unborn ,https://www.dailywire.com/news/48773/watch-ocasio-cortez-asked-if-planned-parenthood-amanda-prestigiacomo,Daily Wire,http://dailywire.com/,2019-06-24 08:40:00,1,3166,[3690],0,27
https://politico.com/interactives/uploads/issues-tracker/home.jpg,1321336936,18268,The most comprehensive policy guide you’ll find on the 2020 presidential race,https://www.politico.com/story/2019/06/24/the-most-comprehensive-policy-guide-youll-find-on-the-2020-presidential-race-1378322,Politico,https://www.politico.com/,2019-06-24 16:45:18,0,2784,[3687],Dems,28
https://static.politico.com/2f/52/989739844298b70544114525e09d/190626-handshales-gty-773.jpg,1323423362,18268,Democrats lead with their left,https://www.politico.com/story/2019/06/27/democrats-lead-with-their-left-1385147,Politico,https://www.politico.com/,2019-06-27 02:21:14,2,2757,[3687],Dems,29
https://www.theepochtimes.com/assets/uploads/2019/06/07/joe-biden-abortion-hyde-amendment-fund-1200x800.jpg,1325436698,23411,"Joe Biden&#8217;s Top Fundraiser Withdraws Support for His Campaign, Predicts Others May Do the Same",https://www.theepochtimes.com/joe-bidens-top-fundraiser-withdraws-support-for-his-campaign-predicts-others-may-do-the-same_2983456.html,theepochtimes.com,http://www.theepochtimes.com,2019-06-29 15:41:04.000000,0,2549,[],Dems,30
https://www.rollingstone.com/wp-content/uploads/2019/06/alabama-fetus-death-manslaughter.jpg,1323510157,5521,"Alabama Pregnant Woman Shot in Stomach, Charged With Manslaughter",https://www.rollingstone.com/culture/culture-news/marshae-jones-alabama-pregnant-woman-manslaughter-charge-852988/,Rolling Stone,http://www.rollingstone.com,2019-06-27 12:46:42,0,2522,[3689],Alabama,2
https://www.al.com/resizer/_8tmoQ--pfobzrWc83sP1ESwJz8=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/HJGHQP2AVBBONBTAZDIQPVSVQQ.jpg,1325649972,312802,U.S. Supreme Court wont revive Alabama ban on abortion procedure,https://www.al.com/news/2019/06/us-supreme-court-strikes-down-alabama-ban-on-abortion-procedure.html,alabama.statenews.net,http://alabama.statenews.net/,2019-06-29 20:55:20.000000,0,2441,[],Alabama,4
,,,,,,,,,,,,0
,,,,,,,,,,,0,Alabama
,,,,,,,,,,,0,Georgia
,,,,,,,,,,,0,Ohio
,,,,,,,,,,,0,Camp
,,,,,,,,,,,0,Dems
,,,,,,,,,,,0,Trump
,,,,,,,,,,,0,Ivanka
,,,,,,,,,,,0,SCourt
,,,,,,,,,,,0,redhen
