,image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,deleted,d_hash,img_size,index
1376,https://cdn.cnn.com/cnnnext/dam/assets/190204164023-abortion-illo-5-super-tease.jpg,1184446185,1095,"Before judging 'late-term abortion,' understand what it means, doctors say",http://rss.cnn.com/~r/rss/cnn_latest/~3/IHQbDM0h1kU/index.html,CNN,http://www.cnn.com/,2019-02-06 04:08:08.000000,6,450884,[3687],FALSE,e86874d4d6929697,56648,e86874d4d6929697
1375,https://static.foxnews.com/foxnews.com/content/uploads/2019/01/Gov-Andrew-Cuomo.jpg,1173399814,1092,New York 'celebrates' legalizing abortion until birth as Catholic bishops question Cuomo's faith,http://feeds.foxnews.com/~r/foxnews/politics/~3/E6XrHv50Yfs/new-york-celebrates-legalizing-abortion-until-birth-as-catholic-bishops-question-cuomos-faith,FOX News,http://www.foxnews.com/,2019-01-23 15:51:01.000000,2,382249,[3690],FALSE,e474d2d6da9b7951,81229,e474d2d6da9b7951
1374,https://static01.nyt.com/images/2019/02/07/science/07ABORTION/07ABORTION-facebookJumbo.jpg,1184916984,1,What Trump Got Wrong About Late-Term Abortions,https://www.nytimes.com/2019/02/06/health/late-term-abortion-trump.html,New York Times,http://nytimes.com,2019-02-06 18:56:17.000000,1,130188,[3687],FALSE,46715a4a9aeac8e0,163193,46715a4a9aeac8e0
1373,https://theintercept.imgix.net/wp-uploads/sites/1/2019/02/AP_19037036434004-AOC-Democrats-Left-centrism-1551198385-e1551198568278.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,1208123850,269138,"AOC, Sanders, and Warren Are the Real Centrists Because They Speak for Most Americans",https://theintercept.com/2019/02/26/democratic-party-centrism-aoc-sanders-warren/,The Intercept,https://theintercept.com/,2019-02-26 12:17:07.000000,1,116387,[3686],FALSE,62cc9d9d3c3c3c94,185554,62cc9d9d3c3c3c94
1372,https://static01.nyt.com/images/2019/02/26/opinion/26Gunter-Sub2/26Gunter-Sub2-facebookJumbo.jpg,1208189386,1,I Didn’t Kill My Baby,https://www.nytimes.com/2019/02/26/opinion/born-alive-abortion.html,New York Times,http://nytimes.com,2019-02-26 21:02:42.000000,2,116207,[3687],FALSE,63e3eb6b3319586c,107668,63e3eb6b3319586c
1371,https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,1183342907,1752,New York passes law allowing abortions at any time if mother's health is at risk,https://www.cbsnews.com/news/new-york-passes-abortion-bill-late-term-if-mothers-health-is-at-risk-today-2019-01-23/,cbs news,http://www.cbsnews.com/,2019-01-24 20:30:09.000000,7,110438,[3687],FALSE,f4b4f4cedb9b1bc4,78735,f4b4f4cedb9b1bc4
1370,https://fivethirtyeight.com/wp-content/uploads/2017/01/promo_16x9_congress_tracker_compressed2.jpg,1157625388,5915,Tracking Congress In The Age Of Trump,https://projects.fivethirtyeight.com/congress-trump-score/seth-moulton/,FiveThirtyEight,http://www.fivethirtyeight.com/,2017-01-30 12:00:00,7,86236,[3689],FALSE,6d28c4c92986b233,187569,6d28c4c92986b233
1369,https://static01.nyt.com/images/2019/02/23/science/23ABORTION/23ABORTION-facebookJumbo.jpg,1205265008,1,Trump Administration Blocks Funds for Planned Parenthood and Others Over Abortion Referrals,https://www.nytimes.com/2019/02/22/health/trump-defunds-planned-parenthood.html,New York Times,http://nytimes.com,2019-02-22 19:25:49.000000,2,66257,[3687],FALSE,813dd95919195908,146187,813dd95919195908
1367,https://www.liveaction.org/news/wp-content/uploads/2017/09/baby-incubator-preemie-700x350.jpg,1264195448,83282,Eyewitness: Babies born alive after abortion were drowned in saline,https://www.liveaction.org/news/eyewitness-born-alive-abortion-drowned-saline/,Live Action News,http://liveactionnews.org/,2019-04-23 16:46:46,2,50126,[],FALSE,a4f0a0d8d8c1a160,28159,a4f0a0d8d8c1a160
1368,https://www.liveaction.org/news/wp-content/uploads/2017/09/baby-incubator-preemie-700x350.jpg,1290267148,71843,Eyewitness: Babies born alive after abortion were drowned in saline,https://www.liveaction.org/news/eyewitness-born-alive-abortion-drowned-saline/?fbclid=IwAR0JjQXC_A1fnygp_vh3Iwy3OtUFoleItd3o0lbqR2GFVKuUbQkY9mVUQdw&utm_content=90195938&utm_medium=social&utm_source=twitter&hss_channel=tw-18001922,liveaction.org,http://www.liveaction.org/#spider,2019-04-23 20:46:46,2,50126,[],FALSE,a4f0a0d8d8c1a160,28159,a4f0a0d8d8c1a160
