image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,image_url,parent,d_hash
https://www.hhs.gov/sites/default/files/HHS-Twitter-Card-180x180.jpg,1216978640,19644,HHS Releases Final Title X Rule Detailing Family Planning Grant Program,https://www.hhs.gov/about/news/2019/02/22/hhs-releases-final-title-x-rule-detailing-family-planning-grant-program.html,hhs.gov,http://www.hhs.gov,2019-02-22 16:48:39,9,167,[],https://www.hhs.gov/sites/default/files/HHS-Twitter-Card-180x180.jpg,0,11
https://static01.nyt.com/images/icons/t_logo_291_black.png,1217013226,1,A Quiet Attack on Women,https://www.nytimes.com/2002/05/20/opinion/a-quiet-attack-on-women.html,New York Times,http://nytimes.com,2002-05-20 05:00:00,9,119,[3687],https://static01.nyt.com/images/icons/t_logo_291_black.png,0,12
https://www.justice.gov/sites/all/modules/features/doj_sharing/images/doj-seal-fb.jpg,1290272723,18498,Rhode Island Man Arrested For Threatening Massachusetts Professor,https://www.justice.gov/usao-ma/pr/rhode-island-man-arrested-threatening-massachusetts-professor,justice.gov,http://www.justice.gov,2019-04-24 18:38:20,9,10,[],https://www.justice.gov/sites/all/modules/features/doj_sharing/images/doj-seal-fb.jpg,0,13
https://i.guim.co.uk/img/media/c6fb855c40adcde5048082785d92bc62c67ec110/92_0_3331_1998/master/3331.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=e35f572622075de16ce35a4b0e1dac0d,1264137533,623382,UN waters down rape resolution to appease US's hardline abortion stance,https://www.theguardian.com/global-development/2019/apr/23/un-resolution-passes-trump-us-veto-threat-abortion-language-removed,Guardian - United States,http://www.theguardian.com/us,2019-04-23 15:36:15,8,14673,[],https://i.guim.co.uk/img/media/c6fb855c40adcde5048082785d92bc62c67ec110/92_0_3331_1998/master/3331.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=e35f572622075de16ce35a4b0e1dac0d,0,14
https://cdn.cnn.com/cnnnext/dam/assets/190227143541-un-venezuela-politics-diplomacy-super-tease.jpg,1264067851,1095,US successfully removes 'sexual health' references from UN resolution on sexual violence,http://rss.cnn.com/~r/rss/cnn_latest/~3/XKGdpCPnLaw/index.html,CNN,http://www.cnn.com/,2019-04-23 15:09:42,8,2336,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190227143541-un-venezuela-politics-diplomacy-super-tease.jpg,0,15
https://www.atg.wa.gov/sites/default/files/favicon.ico,1276758876,148208,AG Ferguson asks court to block Trump’s family planning “gag rule” | Washington State,https://www.atg.wa.gov/news/news-releases/ag-ferguson-asks-court-block-trump-s-family-planning-gag-rule,atg.wa.gov,http://atg.wa.gov/,2019-03-22 07:00:00,8,0,[],https://www.atg.wa.gov/sites/default/files/favicon.ico,0,16
https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,1183342907,1752,New York passes law allowing abortions at any time if mother's health is at risk,https://www.cbsnews.com/news/new-york-passes-abortion-bill-late-term-if-mothers-health-is-at-risk-today-2019-01-23/,cbs news,http://www.cbsnews.com/,2019-01-24 20:30:09,7,110438,[3687],https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,0,17
https://fivethirtyeight.com/wp-content/uploads/2017/01/promo_16x9_congress_tracker_compressed2.jpg,1157625388,5915,Tracking Congress In The Age Of Trump,https://projects.fivethirtyeight.com/congress-trump-score/seth-moulton/,FiveThirtyEight,http://www.fivethirtyeight.com/,2017-01-30 12:00:00,7,86236,[3689],https://fivethirtyeight.com/wp-content/uploads/2017/01/promo_16x9_congress_tracker_compressed2.jpg,0,18
https://static01.nyt.com/images/2019/03/22/us/politics/00Biden-abortion1-promo/00Biden-abortion1-facebookJumbo.jpg,1235293887,1,How Joe Biden Struggled with Abortion Rights for Decades,https://www.nytimes.com/2019/03/29/us/politics/biden-abortion-rights.html,New York Times,http://nytimes.com,2019-03-29 09:01:44,7,19323,[3687],https://static01.nyt.com/images/2019/03/22/us/politics/00Biden-abortion1-promo/00Biden-abortion1-facebookJumbo.jpg,0,19
https://cdn.cnn.com/cnnnext/dam/assets/171103073207-01-ralph-northam-super-tease.jpg,1180080889,1095,Virginia governor faces backlash over comments supporting late-term abortion bill,http://rss.cnn.com/~r/rss/cnn_topstories/~3/t4f7yKr4SG0/index.html,CNN,http://www.cnn.com/,2019-01-31 09:46:30,7,8515,[3687],https://cdn.cnn.com/cnnnext/dam/assets/171103073207-01-ralph-northam-super-tease.jpg,0,20
